Vc,f,ap,T,Kp,Ra,Rt,Fr,Tpº,RD,OEE_P,OEE_I,MTTc,MPROD,Cp,MO,ROI,TIR,TIRM,VPL,C_ENER,y
162.5,0.16,0.24,41.5,1.7,0.82,4.42,342.28,492.33,85.22,0.3642400174236212,0.9912231321102742,144.363705012548,242.6280756513412,165.07890357231494,0.017387478736220485,0.20256843779624198,2.513741399772767,0.4539181269910168,48504543.05499024,107128.89726928777,CC650
162.5,0.16,0.24,42.0,1.69,0.83,4.43,339.76,489.85,87.72,0.3670050127021178,0.9912617854118544,145.45958943944157,240.8271348335125,165.08084903051497,0.017375898627887278,0.20097402252124744,2.494607849470968,0.4528122617241576,48110363.82270849,107154.71028472151,CC650
100.0,0.1,0.15,61.0,2.42,0.45,2.78,344.23,485.67,70.43,0.5294353043273218,0.9913207327159456,209.83757533771046,133.56943051413782,166.0113815647617,0.011837014495466045,0.07586631649403376,0.9924298119624172,0.32582900626091305,17180617.797463436,108625.16494577944,CC650W
225.0,0.1,0.15,32.25,1.49,0.54,3.63,240.57,648.77,92.44,0.39157683092080303,0.9878580827621457,155.1984389542071,222.34733374528236,165.33089449223647,0.01588753278430673,0.16938767142586186,2.1155532673847097,0.429170981303455,40301429.83880158,107372.12820353439,CC650W
100.0,0.22,0.15,50.5,1.87,0.98,4.58,438.47,465.48,85.67,0.3939115753278616,0.9921997707855869,156.12379678623327,223.67306129832855,165.14918946717458,0.016969110314437163,0.1821865549180148,2.2691493516543826,0.4391749144861108,43465633.135222785,107396.99508074904,CC650W
225.0,0.22,0.15,30.0,1.22,1.22,5.15,246.54,632.87,97.55,0.24936454226517676,0.9916878485911608,98.83370167504413,318.81839250014235,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC650W
100.0,0.1,0.33,62.25,2.93,0.55,3.64,448.59,476.53,78.75,0.5295599710985538,0.991493012512473,209.88698604528258,133.60088226943517,165.997415749298,0.011920144349416559,0.07642368155484454,0.9991409864785389,0.3267099575004518,17318412.345230788,108626.70917598996,CC650W
225.0,0.1,0.33,28.5,1.72,0.62,3.76,248.68,551.23,96.87,0.39073361985264127,0.9862900484262231,154.86423878924873,221.8685369473478,165.3938389765592,0.015512863234766536,0.16499543664813407,2.062842232686323,0.425587548080741,39215559.827494115,107363.59455581562,CC650W
100.0,0.22,0.33,50.5,2.24,0.93,4.78,461.43,486.72,80.53,0.3939115753278616,0.9921997707855869,156.12379678623327,223.67306129832855,165.14481371350988,0.01699515646720311,0.1824969845718104,2.2728746955571375,0.4394099303714078,43542379.09001235,107397.59821274015,CC650W
225.0,0.22,0.33,27.5,1.1,0.89,4.18,250.93,582.54,94.68,0.24911027278256975,0.9909414446260884,98.73292393831869,318.49330302683455,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC650W
